username,rating,comment
r*****a,4,"Ternyata bulky bentuk sisirnya dan cukup berat. Kalau biasa pakai catokan, akan merasa kurang pakai ini, karena selain cukup berat, juga tetap agak mengembang hasil rambutnya. Tapi lumayan kalo lagi buru2, tinggal disisir pakai ini saja, jadi lurus rapi deh rambutnya. Thanks seller"
1*****v,5,Produk bagus. Lumayan membantu merapikan rambut. Panasnya juga bs diset sesuai keinginan. Recommended product!
d*****n,4,"Digambar dpt free, tp setelah buka paket ga dpt free nya"
esthi_pratidina,5,"Tekstur:bagus
Performa:baik
Cocok Untuk:rambut lebih rapi

produk bagus dan original,pengiriman cepat dan aman di beri bubble wrap"
landranefertiti,5,"Performa:bagus
Cocok Untuk:rambut

Sumpah ngga nyesel belinya...meskipun lumayah mahal harganya...tapi worth it sekali
Seller cepet bgt kirimnya...semoga selalu amanah...sukses selalu
Makasih shopee...semoga tetep jaya 
Makasih mas kurir"
suzan.n24,5,"Performa:bagus, cepat panas.
Tekstur:baik, tidak membuat rambut kering
Cocok Untuk:rambut panjang atau pendek

Pengiriman  cepat, packing rapi. 
Produk rambut dari Philips memang sudah terbukti bagus.
Semua produk perawatan rambut saya Philips semua."
w5a67zz2sd,3,"Cocok Untuk:rambut curly

Platnya besar....agak kesulitan saat pemakaian. Untuk rambut tipis mantap lah.  Boros listrik juga....butuh arus listrik yg lumayan besar..."
a*****_,5,"baguss, dateng langsung tak coba bentar, ternyata ngaruh .."
i*****i,5,Barang bagus bisa di pakai dengan baik silakan mencoba guys makasih banyak kakak
n*****_,4,"Produk sih ori cuma heran, masa official store kirim barang dgn dus yg bonyok gini. Untung barang ga rusak"
e*****a,5,"Cocok Untuk:Daily hairdo, rambut ikal, lurus
Tekstur:Lembut, rapi
Performa:Bagus"
s*****a,5,"Cocok Untuk:rambut susah di atur
Performa:panas cepat, stlh pemakaian rambut JD rapi & berkilau.
Tekstur:bahan bagus

Mudah di pakai, panas cepat tersalur, rambut bs lurus natural, terlihat rapi, berkilau & mengembang"
debra_olivia,5,"Cocok Untuk:merapikan rambut
Performa:bekerja dengan baik"
p*****1,5,"Cocok Untuk:Orang dewasa
Tekstur:-
Performa:Mantap

Barang oke, pengiriman cepat, berfungsi dengan baik... ❤️ Mantap"
erjul2,5,"Cocok Untuk:rambut yg kurang lurus
Tekstur:bagus
Performa:mantap

begitu dicoba, rambut saya auto lurus dan rapi. ih keren"
i*****i,4,Pengiriman sangat buruk. Terlambat 6 hari tapi tidak ada kejelasan dari ekspedisi. Sicepat tidak memberikan solusi. Pelayanan ekspedisi sangat buruk
s*****a,4,"Tekstur:keras dan padat
Cocok Untuk:Rambut
Performa:Lumayan oke

Dengan harga 700 ribu menurut aku kurang wort it, Pemakaian mudah, membantu mengeringkan rambut yang setengah kering, dan bagudnya tidak ada bau gosong.
Packingnya standart, pke buble wrap tetapi gak dibungkus kardus lagi pafahal harganya kan mahal.
Saran lebih safety lagi Min

Thank u"
o*****e,5,"Tekstur:bagus
Cocok Untuk:SU
Performa:bagus

Packing ok, pelayanan penjual ok, kurir ok.
Ok lah."
w*****i,5,"Alhirnya samapi juga lama ya ngirimnya, untuk heated brush ini aman kok"
0*****y,4,"Free tressme nyaa Ndak ada yaa kk . Maaf yaa kk ,memang harga sesuai kualitas, tp kalau berat ngasih free ,jangan di iming""kan yaa kk . Kasian kecewa ntr di harepin loo mbaa"
y*****e,5,"Alat-nya bagus. Tapi bonus Tresemme Keratin Mask tidak ada di dalam paket.
Di dalam box, user manual-nya ada 2."
m*****y,5,mayanlah menghemat waktu. cuma minusnya ini gabisa ngeblow ke dalam🥲
h*****m,5,"Tekstur:Oke
Cocok Untuk:Semua jenis rambut
Performa:baik

Setelah mencobanya rambut terasa lembut, ringan dan lurus dan penggunaannya pun sangat praktis, bisa digunakan sehari-hari juga dan bisa dibawa kemana-mana. Untuk Tokonya mantap banget responsif, ramah dan packing rapi. Proses penyerahan barang ke kurir juga cepat sehingga barang cepat sampai ke tujuan. Terimakasih 🙏"
chocodegree_anneke,4,Semoga awet aman dan teekendali. Buat ngeeapiin rambut singa
d*****0,5,Pas dapet harga diskon. Kualitasnya tidak diragukan lagi. Sudah dicoba dan berfungsi sempurna. Terima kasih!
aldinama,5,"OMG kenapa baru tau ada produk secanggih ini 😂cepet bgt ngelurusin rambutnya, panasnya jg msh batas normal.. super worth it sih ini 😍"
wandalim,5,Barang sesuai dengan pesanan. Packing dan pengirimannya juga lumayan baik. Terima kasih seller. Semoga bisa berlangganan kembali.
user29932999,4,"Cocok Untuk:merapikan rambut
Performa:sesuai ekspektasi

cocok utk yang gamau ribet dan yang pengen rambut asal rapih aja. ini agak ada dent sedikit ngelopek, tapi fungsi lain aman aja"
d*****j,5,"Tekstur:ok
Cocok Untuk:rambut
Performa:lumayan

Seperti sisir pada umumnya, cuma ini ada panasnya bisa utk lurusin rambut, tapi hasilnya beda sama catokan rambut, catokan lurus banget, kalo ini biasa aja"
a*****a,5,"Performa:Bagus cepat panas dan tahan lama dirambut
Cocok Untuk:Meluruskan dan merapihkan rambut dengan sat set 5 menit selesai
Tekstur:Keras kokoh

Philips gausah diragukan ya gaes ya, lunayan beli pas lagi 790an dan dapat bonus bioderma, packing juga aman bw tebal."
olivequ24,5,"Performa:bagus
Cocok Untuk:meluruskan rambut

Langsung dicoba ke rambutqu yg ikal lgs lurus. Nunggu alat panas cuma sebentar. Mantap.... Dari dulu pengen bl br bisa kesampaian sekarang. Semoga awet. Terima kasih reseller."
m*****n,5,"Wahh ini catokan nya lumayan besar, rambut aku yg kriting bgt lurus dlm 15 menit biasanya btuh 3 jam 🤣🤣🤣 knp ga dr dlu sih beli"
n*****y,5,"Cocok Untuk:yg gak punya waktu banyak tapi rambut harus rapih badai
Performa:ok banget
Tekstur:sisir tidak berat dan hasil rambut jadi halus"
k*****o,5,"Untung sampe sebelum lebaran. Aman, ga ada yang rusak sejauh ini"
j*****a,5,"Cocok Untuk:rambut ikal

Baguss, panasnya cepat bikin rambut lurus, semoga awet, cuma ga dapet gratis miscelar water aja sih wkt lg promo, overall barang mantap"
a*****2,5,"Cocok Untuk:Meluruskan rambut
Tekstur:OK
Performa:Baik"
m*****e,5,"Baru pertama x coba produk Phillips Heated Straightening Brush, dan klo uda dipanas 180-200° ada keluar asap"
h*****a,5,"Produk diterima dengan baik, lengkap ada kartu garansi juga. Setelah dicoba akan di update lagi."
linda.heni,5,"Performa:bagus
Cocok Untuk:rambut

Terimakasih barang sudah sampai dengan cepat  dan sudah di coba berfungsi dengan baik dan harga diskon juga"
i*****1,5,"Tekstur:lebih dari tipe sebelumnya
Performa:Baik
Cocok Untuk:tipis dan ngembang

Rambut tebal.. gelombang (ikal )dan ngembang..

Engg panas walau kena kulit kepala.. walau cara pemakain tidak di anjurkan kena kulit kepala pada suhu (150-170) 200 engg berani coba..
Yg tebal dan cukup panjang berulang di sisir.. mungkin waktunya 10an mnt
Mesin cepat panas : lampu (putih) berhenti kedap - kepid bisa langsung pakai
 
Rambut ngembang tebal.."
jayanti2g,5,Semoga berfungsi dengan baik belum di coba
j*****v,5,Berfungsi dengan baik. 👌🏼
annafebryna,5,Cocok Untuk:rambut
ninalog,5,
angellasai,5,BAGUS BANGET
4*****2,5,
mendrofa_2028,5,Bagus alatnya
rosvianinanin,5,Performa:semua berfungsi dgn baik
ayuadistha,5,blm dicoba
threfi,5,
m*****3,5,Cocok Untuk:setiap ketebalan rambut
silvaniasilvakiki,5,Sangat bagus
a5shop13,5,Masih dicoba
r*****a,5,"Sumpah ini pertama kalinya beli sisir catok gini dan ternyata gila sih sebagus itu..😍
Gak pernah nyangka sama hasilnya sesuai sama ekspetasi..❤️"
rahmatfri123,4,"Cocok Untuk:rambut ikal

Smoga g trouble.."
